Numero,Sector,Mesa,Silla,CodigoQR,RutaQRPng,RutaPasePng
18,A,A2,8,PARR-A2-S08-03V7,./Sector_A/Mesa_A02_Silla_08_QR.png,./Sector_A/Mesa_A02_Silla_08_Pase.png
19,A,A2,9,PARR-A2-S09-T85K,./Sector_A/Mesa_A02_Silla_09_QR.png,./Sector_A/Mesa_A02_Silla_09_Pase.png
20,A,A2,10,PARR-A2-S10-IE9T,./Sector_A/Mesa_A02_Silla_10_QR.png,./Sector_A/Mesa_A02_Silla_10_Pase.png
21,A,A3,1,PARR-A3-S01-PNCV,./Sector_A/Mesa_A03_Silla_01_QR.png,./Sector_A/Mesa_A03_Silla_01_Pase.png
22,A,A3,2,PARR-A3-S02-1OK0,./Sector_A/Mesa_A03_Silla_02_QR.png,./Sector_A/Mesa_A03_Silla_02_Pase.png
23,A,A3,3,PARR-A3-S03-DZ07,./Sector_A/Mesa_A03_Silla_03_QR.png,./Sector_A/Mesa_A03_Silla_03_Pase.png
24,A,A3,4,PARR-A3-S04-M8KR,./Sector_A/Mesa_A03_Silla_04_QR.png,./Sector_A/Mesa_A03_Silla_04_Pase.png
25,A,A3,5,PARR-A3-S05-9XEF,./Sector_A/Mesa_A03_Silla_05_QR.png,./Sector_A/Mesa_A03_Silla_05_Pase.png
26,A,A3,6,PARR-A3-S06-N5LK,./Sector_A/Mesa_A03_Silla_06_QR.png,./Sector_A/Mesa_A03_Silla_06_Pase.png
27,A,A3,7,PARR-A3-S07-MZ6J,./Sector_A/Mesa_A03_Silla_07_QR.png,./Sector_A/Mesa_A03_Silla_07_Pase.png
28,A,A3,8,PARR-A3-S08-6CPM,./Sector_A/Mesa_A03_Silla_08_QR.png,./Sector_A/Mesa_A03_Silla_08_Pase.png
29,A,A3,9,PARR-A3-S09-W245,./Sector_A/Mesa_A03_Silla_09_QR.png,./Sector_A/Mesa_A03_Silla_09_Pase.png
30,A,A3,10,PARR-A3-S10-RTXX,./Sector_A/Mesa_A03_Silla_10_QR.png,./Sector_A/Mesa_A03_Silla_10_Pase.png
31,A,A4,1,PARR-A4-S01-C2P2,./Sector_A/Mesa_A04_Silla_01_QR.png,./Sector_A/Mesa_A04_Silla_01_Pase.png
32,A,A4,2,PARR-A4-S02-MXP0,./Sector_A/Mesa_A04_Silla_02_QR.png,./Sector_A/Mesa_A04_Silla_02_Pase.png
33,A,A4,3,PARR-A4-S03-YS4L,./Sector_A/Mesa_A04_Silla_03_QR.png,./Sector_A/Mesa_A04_Silla_03_Pase.png
34,A,A4,4,PARR-A4-S04-Q48S,./Sector_A/Mesa_A04_Silla_04_QR.png,./Sector_A/Mesa_A04_Silla_04_Pase.png
35,A,A4,5,PARR-A4-S05-IV0H,./Sector_A/Mesa_A04_Silla_05_QR.png,./Sector_A/Mesa_A04_Silla_05_Pase.png
36,A,A4,6,PARR-A4-S06-7SX3,./Sector_A/Mesa_A04_Silla_06_QR.png,./Sector_A/Mesa_A04_Silla_06_Pase.png
37,A,A4,7,PARR-A4-S07-YKCZ,./Sector_A/Mesa_A04_Silla_07_QR.png,./Sector_A/Mesa_A04_Silla_07_Pase.png
38,A,A4,8,PARR-A4-S08-2RE5,./Sector_A/Mesa_A04_Silla_08_QR.png,./Sector_A/Mesa_A04_Silla_08_Pase.png
39,A,A4,9,PARR-A4-S09-LO7N,./Sector_A/Mesa_A04_Silla_09_QR.png,./Sector_A/Mesa_A04_Silla_09_Pase.png
40,A,A4,10,PARR-A4-S10-D9EZ,./Sector_A/Mesa_A04_Silla_10_QR.png,./Sector_A/Mesa_A04_Silla_10_Pase.png
41,A,A5,1,PARR-A5-S01-XCU8,./Sector_A/Mesa_A05_Silla_01_QR.png,./Sector_A/Mesa_A05_Silla_01_Pase.png
42,A,A5,2,PARR-A5-S02-Q0A7,./Sector_A/Mesa_A05_Silla_02_QR.png,./Sector_A/Mesa_A05_Silla_02_Pase.png
43,A,A5,3,PARR-A5-S03-E7B3,./Sector_A/Mesa_A05_Silla_03_QR.png,./Sector_A/Mesa_A05_Silla_03_Pase.png
44,A,A5,4,PARR-A5-S04-IIOQ,./Sector_A/Mesa_A05_Silla_04_QR.png,./Sector_A/Mesa_A05_Silla_04_Pase.png
45,A,A5,5,PARR-A5-S05-L5WG,./Sector_A/Mesa_A05_Silla_05_QR.png,./Sector_A/Mesa_A05_Silla_05_Pase.png
46,A,A5,6,PARR-A5-S06-4NAB,./Sector_A/Mesa_A05_Silla_06_QR.png,./Sector_A/Mesa_A05_Silla_06_Pase.png
47,A,A5,7,PARR-A5-S07-76XT,./Sector_A/Mesa_A05_Silla_07_QR.png,./Sector_A/Mesa_A05_Silla_07_Pase.png
48,A,A5,8,PARR-A5-S08-7I9A,./Sector_A/Mesa_A05_Silla_08_QR.png,./Sector_A/Mesa_A05_Silla_08_Pase.png
49,A,A5,9,PARR-A5-S09-HS5K,./Sector_A/Mesa_A05_Silla_09_QR.png,./Sector_A/Mesa_A05_Silla_09_Pase.png
50,A,A5,10,PARR-A5-S10-ZD4T,./Sector_A/Mesa_A05_Silla_10_QR.png,./Sector_A/Mesa_A05_Silla_10_Pase.png
51,A,A6,1,PARR-A6-S01-1ED5,./Sector_A/Mesa_A06_Silla_01_QR.png,./Sector_A/Mesa_A06_Silla_01_Pase.png
52,A,A6,2,PARR-A6-S02-HCFB,./Sector_A/Mesa_A06_Silla_02_QR.png,./Sector_A/Mesa_A06_Silla_02_Pase.png
53,A,A6,3,PARR-A6-S03-XO34,./Sector_A/Mesa_A06_Silla_03_QR.png,./Sector_A/Mesa_A06_Silla_03_Pase.png
54,A,A6,4,PARR-A6-S04-E5WH,./Sector_A/Mesa_A06_Silla_04_QR.png,./Sector_A/Mesa_A06_Silla_04_Pase.png
55,A,A6,5,PARR-A6-S05-UTZK,./Sector_A/Mesa_A06_Silla_05_QR.png,./Sector_A/Mesa_A06_Silla_05_Pase.png
56,A,A6,6,PARR-A6-S06-XHAK,./Sector_A/Mesa_A06_Silla_06_QR.png,./Sector_A/Mesa_A06_Silla_06_Pase.png
57,A,A6,7,PARR-A6-S07-NHQ1,./Sector_A/Mesa_A06_Silla_07_QR.png,./Sector_A/Mesa_A06_Silla_07_Pase.png
58,A,A6,8,PARR-A6-S08-119K,./Sector_A/Mesa_A06_Silla_08_QR.png,./Sector_A/Mesa_A06_Silla_08_Pase.png
59,A,A6,9,PARR-A6-S09-D3U8,./Sector_A/Mesa_A06_Silla_09_QR.png,./Sector_A/Mesa_A06_Silla_09_Pase.png
60,A,A6,10,PARR-A6-S10-387A,./Sector_A/Mesa_A06_Silla_10_QR.png,./Sector_A/Mesa_A06_Silla_10_Pase.png
61,A,A7,1,PARR-A7-S01-SR7Z,./Sector_A/Mesa_A07_Silla_01_QR.png,./Sector_A/Mesa_A07_Silla_01_Pase.png
62,A,A7,2,PARR-A7-S02-TCAL,./Sector_A/Mesa_A07_Silla_02_QR.png,./Sector_A/Mesa_A07_Silla_02_Pase.png
63,A,A7,3,PARR-A7-S03-E7DY,./Sector_A/Mesa_A07_Silla_03_QR.png,./Sector_A/Mesa_A07_Silla_03_Pase.png
64,A,A7,4,PARR-A7-S04-F444,./Sector_A/Mesa_A07_Silla_04_QR.png,./Sector_A/Mesa_A07_Silla_04_Pase.png
65,A,A7,5,PARR-A7-S05-LTIK,./Sector_A/Mesa_A07_Silla_05_QR.png,./Sector_A/Mesa_A07_Silla_05_Pase.png
66,A,A7,6,PARR-A7-S06-87UA,./Sector_A/Mesa_A07_Silla_06_QR.png,./Sector_A/Mesa_A07_Silla_06_Pase.png
67,A,A7,7,PARR-A7-S07-KS0I,./Sector_A/Mesa_A07_Silla_07_QR.png,./Sector_A/Mesa_A07_Silla_07_Pase.png
68,A,A7,8,PARR-A7-S08-Z186,./Sector_A/Mesa_A07_Silla_08_QR.png,./Sector_A/Mesa_A07_Silla_08_Pase.png
69,A,A7,9,PARR-A7-S09-1Z85,./Sector_A/Mesa_A07_Silla_09_QR.png,./Sector_A/Mesa_A07_Silla_09_Pase.png
70,A,A7,10,PARR-A7-S10-HFD6,./Sector_A/Mesa_A07_Silla_10_QR.png,./Sector_A/Mesa_A07_Silla_10_Pase.png
71,A,A8,1,PARR-A8-S01-1FJ0,./Sector_A/Mesa_A08_Silla_01_QR.png,./Sector_A/Mesa_A08_Silla_01_Pase.png
72,A,A8,2,PARR-A8-S02-FB5L,./Sector_A/Mesa_A08_Silla_02_QR.png,./Sector_A/Mesa_A08_Silla_02_Pase.png
73,A,A8,3,PARR-A8-S03-22EV,./Sector_A/Mesa_A08_Silla_03_QR.png,./Sector_A/Mesa_A08_Silla_03_Pase.png
74,A,A8,4,PARR-A8-S04-J3F7,./Sector_A/Mesa_A08_Silla_04_QR.png,./Sector_A/Mesa_A08_Silla_04_Pase.png
75,A,A8,5,PARR-A8-S05-2K20,./Sector_A/Mesa_A08_Silla_05_QR.png,./Sector_A/Mesa_A08_Silla_05_Pase.png
76,A,A8,6,PARR-A8-S06-OZNW,./Sector_A/Mesa_A08_Silla_06_QR.png,./Sector_A/Mesa_A08_Silla_06_Pase.png
77,A,A8,7,PARR-A8-S07-J8BR,./Sector_A/Mesa_A08_Silla_07_QR.png,./Sector_A/Mesa_A08_Silla_07_Pase.png
78,A,A8,8,PARR-A8-S08-IY7A,./Sector_A/Mesa_A08_Silla_08_QR.png,./Sector_A/Mesa_A08_Silla_08_Pase.png
79,A,A8,9,PARR-A8-S09-5P2H,./Sector_A/Mesa_A08_Silla_09_QR.png,./Sector_A/Mesa_A08_Silla_09_Pase.png
80,A,A8,10,PARR-A8-S10-KM8W,./Sector_A/Mesa_A08_Silla_10_QR.png,./Sector_A/Mesa_A08_Silla_10_Pase.png
81,A,A9,1,PARR-A9-S01-WCMN,./Sector_A/Mesa_A09_Silla_01_QR.png,./Sector_A/Mesa_A09_Silla_01_Pase.png
82,A,A9,2,PARR-A9-S02-3DDH,./Sector_A/Mesa_A09_Silla_02_QR.png,./Sector_A/Mesa_A09_Silla_02_Pase.png
83,A,A9,3,PARR-A9-S03-N3I0,./Sector_A/Mesa_A09_Silla_03_QR.png,./Sector_A/Mesa_A09_Silla_03_Pase.png
84,A,A9,4,PARR-A9-S04-4OGB,./Sector_A/Mesa_A09_Silla_04_QR.png,./Sector_A/Mesa_A09_Silla_04_Pase.png
85,A,A9,5,PARR-A9-S05-KWRW,./Sector_A/Mesa_A09_Silla_05_QR.png,./Sector_A/Mesa_A09_Silla_05_Pase.png
86,A,A9,6,PARR-A9-S06-IRY5,./Sector_A/Mesa_A09_Silla_06_QR.png,./Sector_A/Mesa_A09_Silla_06_Pase.png
87,A,A9,7,PARR-A9-S07-NRWV,./Sector_A/Mesa_A09_Silla_07_QR.png,./Sector_A/Mesa_A09_Silla_07_Pase.png
88,A,A9,8,PARR-A9-S08-A9G5,./Sector_A/Mesa_A09_Silla_08_QR.png,./Sector_A/Mesa_A09_Silla_08_Pase.png
89,A,A9,9,PARR-A9-S09-FVE1,./Sector_A/Mesa_A09_Silla_09_QR.png,./Sector_A/Mesa_A09_Silla_09_Pase.png
90,A,A9,10,PARR-A9-S10-NQO0,./Sector_A/Mesa_A09_Silla_10_QR.png,./Sector_A/Mesa_A09_Silla_10_Pase.png
91,A,A10,1,PARR-A10-S01-860N,./Sector_A/Mesa_A10_Silla_01_QR.png,./Sector_A/Mesa_A10_Silla_01_Pase.png
92,A,A10,2,PARR-A10-S02-NHOS,./Sector_A/Mesa_A10_Silla_02_QR.png,./Sector_A/Mesa_A10_Silla_02_Pase.png
93,A,A10,3,PARR-A10-S03-RW10,./Sector_A/Mesa_A10_Silla_03_QR.png,./Sector_A/Mesa_A10_Silla_03_Pase.png
94,A,A10,4,PARR-A10-S04-RYI5,./Sector_A/Mesa_A10_Silla_04_QR.png,./Sector_A/Mesa_A10_Silla_04_Pase.png
95,A,A10,5,PARR-A10-S05-CPSY,./Sector_A/Mesa_A10_Silla_05_QR.png,./Sector_A/Mesa_A10_Silla_05_Pase.png
96,A,A10,6,PARR-A10-S06-PLHK,./Sector_A/Mesa_A10_Silla_06_QR.png,./Sector_A/Mesa_A10_Silla_06_Pase.png
97,A,A10,7,PARR-A10-S07-MTTF,./Sector_A/Mesa_A10_Silla_07_QR.png,./Sector_A/Mesa_A10_Silla_07_Pase.png
98,A,A10,8,PARR-A10-S08-SBL2,./Sector_A/Mesa_A10_Silla_08_QR.png,./Sector_A/Mesa_A10_Silla_08_Pase.png
99,A,A10,9,PARR-A10-S09-JGCH,./Sector_A/Mesa_A10_Silla_09_QR.png,./Sector_A/Mesa_A10_Silla_09_Pase.png
100,A,A10,10,PARR-A10-S10-2B7V,./Sector_A/Mesa_A10_Silla_10_QR.png,./Sector_A/Mesa_A10_Silla_10_Pase.png
101,B,B1,1,PARR-B1-S01-VRNH,./Sector_B/Mesa_B01_Silla_01_QR.png,./Sector_B/Mesa_B01_Silla_01_Pase.png
102,B,B1,2,PARR-B1-S02-GJE5,./Sector_B/Mesa_B01_Silla_02_QR.png,./Sector_B/Mesa_B01_Silla_02_Pase.png
103,B,B1,3,PARR-B1-S03-UURL,./Sector_B/Mesa_B01_Silla_03_QR.png,./Sector_B/Mesa_B01_Silla_03_Pase.png
104,B,B1,4,PARR-B1-S04-WUQV,./Sector_B/Mesa_B01_Silla_04_QR.png,./Sector_B/Mesa_B01_Silla_04_Pase.png
105,B,B1,5,PARR-B1-S05-S92N,./Sector_B/Mesa_B01_Silla_05_QR.png,./Sector_B/Mesa_B01_Silla_05_Pase.png
106,B,B1,6,PARR-B1-S06-93LY,./Sector_B/Mesa_B01_Silla_06_QR.png,./Sector_B/Mesa_B01_Silla_06_Pase.png
107,B,B1,7,PARR-B1-S07-MKVW,./Sector_B/Mesa_B01_Silla_07_QR.png,./Sector_B/Mesa_B01_Silla_07_Pase.png
108,B,B1,8,PARR-B1-S08-P48L,./Sector_B/Mesa_B01_Silla_08_QR.png,./Sector_B/Mesa_B01_Silla_08_Pase.png
109,B,B1,9,PARR-B1-S09-3Y7Z,./Sector_B/Mesa_B01_Silla_09_QR.png,./Sector_B/Mesa_B01_Silla_09_Pase.png
110,B,B1,10,PARR-B1-S10-2KSW,./Sector_B/Mesa_B01_Silla_10_QR.png,./Sector_B/Mesa_B01_Silla_10_Pase.png
111,B,B2,1,PARR-B2-S01-5XSO,./Sector_B/Mesa_B02_Silla_01_QR.png,./Sector_B/Mesa_B02_Silla_01_Pase.png
112,B,B2,2,PARR-B2-S02-LEVI,./Sector_B/Mesa_B02_Silla_02_QR.png,./Sector_B/Mesa_B02_Silla_02_Pase.png
113,B,B2,3,PARR-B2-S03-2XT5,./Sector_B/Mesa_B02_Silla_03_QR.png,./Sector_B/Mesa_B02_Silla_03_Pase.png
114,B,B2,4,PARR-B2-S04-9F0R,./Sector_B/Mesa_B02_Silla_04_QR.png,./Sector_B/Mesa_B02_Silla_04_Pase.png
115,B,B2,5,PARR-B2-S05-P0EL,./Sector_B/Mesa_B02_Silla_05_QR.png,./Sector_B/Mesa_B02_Silla_05_Pase.png
116,B,B2,6,PARR-B2-S06-7E2M,./Sector_B/Mesa_B02_Silla_06_QR.png,./Sector_B/Mesa_B02_Silla_06_Pase.png
117,B,B2,7,PARR-B2-S07-6ZJ0,./Sector_B/Mesa_B02_Silla_07_QR.png,./Sector_B/Mesa_B02_Silla_07_Pase.png
118,B,B2,8,PARR-B2-S08-8QOX,./Sector_B/Mesa_B02_Silla_08_QR.png,./Sector_B/Mesa_B02_Silla_08_Pase.png
119,B,B2,9,PARR-B2-S09-O3A8,./Sector_B/Mesa_B02_Silla_09_QR.png,./Sector_B/Mesa_B02_Silla_09_Pase.png
120,B,B2,10,PARR-B2-S10-ETFG,./Sector_B/Mesa_B02_Silla_10_QR.png,./Sector_B/Mesa_B02_Silla_10_Pase.png
121,B,B3,1,PARR-B3-S01-77UE,./Sector_B/Mesa_B03_Silla_01_QR.png,./Sector_B/Mesa_B03_Silla_01_Pase.png
122,B,B3,2,PARR-B3-S02-4HI1,./Sector_B/Mesa_B03_Silla_02_QR.png,./Sector_B/Mesa_B03_Silla_02_Pase.png
123,B,B3,3,PARR-B3-S03-C9O2,./Sector_B/Mesa_B03_Silla_03_QR.png,./Sector_B/Mesa_B03_Silla_03_Pase.png
124,B,B3,4,PARR-B3-S04-5BD5,./Sector_B/Mesa_B03_Silla_04_QR.png,./Sector_B/Mesa_B03_Silla_04_Pase.png
125,B,B3,5,PARR-B3-S05-Q2Y6,./Sector_B/Mesa_B03_Silla_05_QR.png,./Sector_B/Mesa_B03_Silla_05_Pase.png
126,B,B3,6,PARR-B3-S06-8VV6,./Sector_B/Mesa_B03_Silla_06_QR.png,./Sector_B/Mesa_B03_Silla_06_Pase.png
127,B,B3,7,PARR-B3-S07-T650,./Sector_B/Mesa_B03_Silla_07_QR.png,./Sector_B/Mesa_B03_Silla_07_Pase.png
128,B,B3,8,PARR-B3-S08-UHRJ,./Sector_B/Mesa_B03_Silla_08_QR.png,./Sector_B/Mesa_B03_Silla_08_Pase.png
129,B,B3,9,PARR-B3-S09-JIWB,./Sector_B/Mesa_B03_Silla_09_QR.png,./Sector_B/Mesa_B03_Silla_09_Pase.png
130,B,B3,10,PARR-B3-S10-2KND,./Sector_B/Mesa_B03_Silla_10_QR.png,./Sector_B/Mesa_B03_Silla_10_Pase.png
131,B,B4,1,PARR-B4-S01-ROYT,./Sector_B/Mesa_B04_Silla_01_QR.png,./Sector_B/Mesa_B04_Silla_01_Pase.png
132,B,B4,2,PARR-B4-S02-1Z9O,./Sector_B/Mesa_B04_Silla_02_QR.png,./Sector_B/Mesa_B04_Silla_02_Pase.png
133,B,B4,3,PARR-B4-S03-GJF6,./Sector_B/Mesa_B04_Silla_03_QR.png,./Sector_B/Mesa_B04_Silla_03_Pase.png
134,B,B4,4,PARR-B4-S04-FDY2,./Sector_B/Mesa_B04_Silla_04_QR.png,./Sector_B/Mesa_B04_Silla_04_Pase.png
135,B,B4,5,PARR-B4-S05-HLHO,./Sector_B/Mesa_B04_Silla_05_QR.png,./Sector_B/Mesa_B04_Silla_05_Pase.png
136,B,B4,6,PARR-B4-S06-JPF1,./Sector_B/Mesa_B04_Silla_06_QR.png,./Sector_B/Mesa_B04_Silla_06_Pase.png
137,B,B4,7,PARR-B4-S07-BU8Y,./Sector_B/Mesa_B04_Silla_07_QR.png,./Sector_B/Mesa_B04_Silla_07_Pase.png
138,B,B4,8,PARR-B4-S08-6H7C,./Sector_B/Mesa_B04_Silla_08_QR.png,./Sector_B/Mesa_B04_Silla_08_Pase.png
139,B,B4,9,PARR-B4-S09-RLYK,./Sector_B/Mesa_B04_Silla_09_QR.png,./Sector_B/Mesa_B04_Silla_09_Pase.png
140,B,B4,10,PARR-B4-S10-5N1C,./Sector_B/Mesa_B04_Silla_10_QR.png,./Sector_B/Mesa_B04_Silla_10_Pase.png
141,B,B5,1,PARR-B5-S01-RTRW,./Sector_B/Mesa_B05_Silla_01_QR.png,./Sector_B/Mesa_B05_Silla_01_Pase.png
142,B,B5,2,PARR-B5-S02-Q375,./Sector_B/Mesa_B05_Silla_02_QR.png,./Sector_B/Mesa_B05_Silla_02_Pase.png
143,B,B5,3,PARR-B5-S03-JGZK,./Sector_B/Mesa_B05_Silla_03_QR.png,./Sector_B/Mesa_B05_Silla_03_Pase.png
144,B,B5,4,PARR-B5-S04-7FRN,./Sector_B/Mesa_B05_Silla_04_QR.png,./Sector_B/Mesa_B05_Silla_04_Pase.png
145,B,B5,5,PARR-B5-S05-7ACA,./Sector_B/Mesa_B05_Silla_05_QR.png,./Sector_B/Mesa_B05_Silla_05_Pase.png
146,B,B5,6,PARR-B5-S06-AXQZ,./Sector_B/Mesa_B05_Silla_06_QR.png,./Sector_B/Mesa_B05_Silla_06_Pase.png
147,B,B5,7,PARR-B5-S07-CJ2M,./Sector_B/Mesa_B05_Silla_07_QR.png,./Sector_B/Mesa_B05_Silla_07_Pase.png
148,B,B5,8,PARR-B5-S08-8NC8,./Sector_B/Mesa_B05_Silla_08_QR.png,./Sector_B/Mesa_B05_Silla_08_Pase.png
149,B,B5,9,PARR-B5-S09-NJ8U,./Sector_B/Mesa_B05_Silla_09_QR.png,./Sector_B/Mesa_B05_Silla_09_Pase.png
150,B,B5,10,PARR-B5-S10-AVFY,./Sector_B/Mesa_B05_Silla_10_QR.png,./Sector_B/Mesa_B05_Silla_10_Pase.png
151,B,B6,1,PARR-B6-S01-BLRO,./Sector_B/Mesa_B06_Silla_01_QR.png,./Sector_B/Mesa_B06_Silla_01_Pase.png
152,B,B6,2,PARR-B6-S02-5TDW,./Sector_B/Mesa_B06_Silla_02_QR.png,./Sector_B/Mesa_B06_Silla_02_Pase.png
153,B,B6,3,PARR-B6-S03-2HEN,./Sector_B/Mesa_B06_Silla_03_QR.png,./Sector_B/Mesa_B06_Silla_03_Pase.png
154,B,B6,4,PARR-B6-S04-0LPU,./Sector_B/Mesa_B06_Silla_04_QR.png,./Sector_B/Mesa_B06_Silla_04_Pase.png
155,B,B6,5,PARR-B6-S05-2U2U,./Sector_B/Mesa_B06_Silla_05_QR.png,./Sector_B/Mesa_B06_Silla_05_Pase.png
156,B,B6,6,PARR-B6-S06-0YS1,./Sector_B/Mesa_B06_Silla_06_QR.png,./Sector_B/Mesa_B06_Silla_06_Pase.png
157,B,B6,7,PARR-B6-S07-893F,./Sector_B/Mesa_B06_Silla_07_QR.png,./Sector_B/Mesa_B06_Silla_07_Pase.png
158,B,B6,8,PARR-B6-S08-TIQK,./Sector_B/Mesa_B06_Silla_08_QR.png,./Sector_B/Mesa_B06_Silla_08_Pase.png
159,B,B6,9,PARR-B6-S09-GL11,./Sector_B/Mesa_B06_Silla_09_QR.png,./Sector_B/Mesa_B06_Silla_09_Pase.png
160,B,B6,10,PARR-B6-S10-Z75Q,./Sector_B/Mesa_B06_Silla_10_QR.png,./Sector_B/Mesa_B06_Silla_10_Pase.png
161,B,B7,1,PARR-B7-S01-QQ4S,./Sector_B/Mesa_B07_Silla_01_QR.png,./Sector_B/Mesa_B07_Silla_01_Pase.png
162,B,B7,2,PARR-B7-S02-O7D3,./Sector_B/Mesa_B07_Silla_02_QR.png,./Sector_B/Mesa_B07_Silla_02_Pase.png
163,B,B7,3,PARR-B7-S03-QNDW,./Sector_B/Mesa_B07_Silla_03_QR.png,./Sector_B/Mesa_B07_Silla_03_Pase.png
164,B,B7,4,PARR-B7-S04-LKB7,./Sector_B/Mesa_B07_Silla_04_QR.png,./Sector_B/Mesa_B07_Silla_04_Pase.png
165,B,B7,5,PARR-B7-S05-7KTC,./Sector_B/Mesa_B07_Silla_05_QR.png,./Sector_B/Mesa_B07_Silla_05_Pase.png
166,B,B7,6,PARR-B7-S06-LXQH,./Sector_B/Mesa_B07_Silla_06_QR.png,./Sector_B/Mesa_B07_Silla_06_Pase.png
167,B,B7,7,PARR-B7-S07-ITZR,./Sector_B/Mesa_B07_Silla_07_QR.png,./Sector_B/Mesa_B07_Silla_07_Pase.png
168,B,B7,8,PARR-B7-S08-TILF,./Sector_B/Mesa_B07_Silla_08_QR.png,./Sector_B/Mesa_B07_Silla_08_Pase.png
169,B,B7,9,PARR-B7-S09-UVSA,./Sector_B/Mesa_B07_Silla_09_QR.png,./Sector_B/Mesa_B07_Silla_09_Pase.png
170,B,B7,10,PARR-B7-S10-7S5S,./Sector_B/Mesa_B07_Silla_10_QR.png,./Sector_B/Mesa_B07_Silla_10_Pase.png
171,B,B8,1,PARR-B8-S01-1XI4,./Sector_B/Mesa_B08_Silla_01_QR.png,./Sector_B/Mesa_B08_Silla_01_Pase.png
172,B,B8,2,PARR-B8-S02-HHVE,./Sector_B/Mesa_B08_Silla_02_QR.png,./Sector_B/Mesa_B08_Silla_02_Pase.png
173,B,B8,3,PARR-B8-S03-I322,./Sector_B/Mesa_B08_Silla_03_QR.png,./Sector_B/Mesa_B08_Silla_03_Pase.png
174,B,B8,4,PARR-B8-S04-GZYV,./Sector_B/Mesa_B08_Silla_04_QR.png,./Sector_B/Mesa_B08_Silla_04_Pase.png
175,B,B8,5,PARR-B8-S05-ZQG6,./Sector_B/Mesa_B08_Silla_05_QR.png,./Sector_B/Mesa_B08_Silla_05_Pase.png
176,B,B8,6,PARR-B8-S06-ZWNK,./Sector_B/Mesa_B08_Silla_06_QR.png,./Sector_B/Mesa_B08_Silla_06_Pase.png
177,B,B8,7,PARR-B8-S07-OXRR,./Sector_B/Mesa_B08_Silla_07_QR.png,./Sector_B/Mesa_B08_Silla_07_Pase.png
178,B,B8,8,PARR-B8-S08-KD15,./Sector_B/Mesa_B08_Silla_08_QR.png,./Sector_B/Mesa_B08_Silla_08_Pase.png
179,B,B8,9,PARR-B8-S09-S53N,./Sector_B/Mesa_B08_Silla_09_QR.png,./Sector_B/Mesa_B08_Silla_09_Pase.png
180,B,B8,10,PARR-B8-S10-NBF9,./Sector_B/Mesa_B08_Silla_10_QR.png,./Sector_B/Mesa_B08_Silla_10_Pase.png
